Rice,1 Gallon of Milk,3.50,93
Pasta,1 lb Bag of Pasta,1.50,170
Rice,5 lb Bag of Rice,4.00,85
Egg,An egg,0.30,20
Chicken Breast,Boneless Chicken Breast,5.00,80
Cheese,Cheddar Cheese,4.00,50
Broccoli,Fresh Broccoli,1.20,100
Carrot,Fresh Carrot,0.70,280
Apple,Fresh Red Apple,0.50,190
Tomato,Fresh Tomato,0.80,220
Yogurt,Greek Yogurt,1.00,200
Tea,Green Tea,5.00,120
Coffee,Ground Coffee,8.00,80
Potato,Juicy Orange,0.60,239
Juice,Orange Juice,2.50,100
Milk,Organic Banana,0.30,245
Potato,Organic Potato,0.40,193
Butter,Unsalted Butter,3.00,70
Cereal,Whole Grain Cereal,3.00,140
Bread,Whole Wheat Bread,2.00,110
